DUB,Substrate,label,TransDSI
Q93008,Q9ULT8,0,0.3287256062030792
O75604,A6NEM1,0,0.001958178821951151
Q9Y2K6,Q9HAW4,1,0.9917769432067871
Q13107,Q15771,0,0.1671147644519806
Q96RU2,Q93009,0,0.008233017288148403
Q93008,P23588,1,0.06980198621749878
P40818,Q92783,1,0.08261902630329132
Q14694,Q9Y5A9,0,0.012851734645664692
Q96K76,Q13547,0,0.6869450807571411
O94966,Q6ISU1,0,0.4081605076789856
Q96FW1,Q8TDD1,0,0.06077960878610611
P40818,P04626,1,0.6961983442306519
P54578,Q96RU2,0,0.023270074278116226
Q93009,Q04206,1,0.851762592792511
Q9Y6I4,P62807,1,0.9886142015457153
Q13107,P05026,0,0.6374326348304749
Q9Y5K5,P25963,1,0.39076560735702515
P15374,Q06609,1,0.49992549419403076
Q6R6M4,Q9H7L9,1,0.9838957786560059
Q9UHP3,Q8N4S9,1,0.927513062953949
P51784,Q9NR20,0,0.3771781921386719
P51784,O15270,0,0.015090478584170341
Q9P275,Q16778,1,0.9884297847747803
Q9UHP3,Q9UJV3,0,0.2102791666984558
Q92560,Q01167,1,0.5701006650924683
Q13107,Q96HZ4,0,0.6161911487579346
Q9UK80,P0C0S8,1,0.9106414914131165
Q9Y4E8,P84022,1,0.8466589450836182
P40818,P01130,1,0.9295836091041565
Q5D1E8,Q12933,1,0.9957440495491028
Q96FW1,P04083,0,0.04081036522984505
Q96FW1,P11142,0,0.024104446172714233
P51784,Q86YC2,1,0.9996769428253174
Q93009,P35226,1,0.883124053478241
P62068,P61981,0,0.032333873212337494
Q9UPT9,Q16778,1,0.9896075129508972
Q92995,Q86WV6,1,0.5917932391166687
Q93009,P60484,1,0.9802979826927185
Q9UPT9,Q9H0X4,0,0.630685031414032
Q9NQC7,P08238,0,0.061469774693250656
Q93009,Q01860,1,0.8546152114868164
Q70EK9,P37275,1,0.904181957244873
Q70EL3,Q9ULZ3,1,0.08763318508863449
P40818,Q9NSD9,0,0.030763164162635803
Q9Y4E8,Q14676,0,0.0007371738320216537
P54252,O14757,1,0.6188573241233826
Q6GQQ9,Q13114,1,0.8384220600128174
Q9Y4E8,P62877,1,0.10577528178691864
Q5VV17,P04637,1,0.9807832837104797
Q14694,P20226,1,0.6659520268440247
Q93009,Q68CJ9,0,0.3167458772659302
P54252,P07437,0,0.012114638462662697
Q96DC9,Q9Y468,1,0.9846790432929993
Q14694,O00743,0,0.013294733129441738
Q9UHP3,Q9Y4K3,1,0.7542968988418579
Q93009,P98177,1,0.7768755555152893
Q70CQ1,Q02790,1,0.4710754454135895
Q9NQC7,Q14669,1,0.9719408750534058
Q9Y4E8,O43541,1,0.8465923070907593
