DUB,Substrate,label,TransDSI
O94782,O75385,1,0.49956026673316956
O94782,P10914,1,0.822812557220459
O94782,Q9BZK7,1,0.15326043963432312
O94782,Q16635,1,0.033155906945466995
O94782,P03372,1,0.5936919450759888
O94782,O95863,1,0.7261623740196228
O94782,P62249,1,0.523699164390564
Q15040,Q07820,1,0.9574485421180725
P35125,Q05586,1,0.9159196615219116
Q6R6M4,O60885,1,0.015860723331570625
Q6R6M4,Q16236,1,0.9220529198646545
Q9UPT9,P00533,1,0.5543797612190247
Q9UPT9,Q9NZQ7,1,0.09536811709403992
Q9UPT9,Q16665,1,0.45556122064590454
Q9UPT9,Q92905,1,0.8259546160697937
Q9UPT9,Q15465,1,0.03817971050739288
Q9UPT9,P46937,1,0.50654536485672
Q9UPT9,O75461,1,0.7273178696632385
Q92995,P53396,1,0.30804866552352905
Q92995,Q02218,1,0.609918475151062
Q92995,Q8NEB9,1,0.7564390301704407
Q92995,Q96P20,1,0.8446788787841797
Q92995,Q92547,1,0.07989490032196045
P45974,P35222,1,0.7077412009239197
P45974,O43623,1,0.5990653038024902
P45974,P49411,1,0.42625388503074646
P45974,Q92769,1,0.4666498601436615
P45974,P19544,1,0.731361985206604
P45974,Q9Y4K3,1,0.8584955334663391
P51784,O95863,1,0.6828694343566895
P51784,P62136,1,0.015345479361712933
P51784,O14497,1,0.09083665907382965
P51784,Q15233,1,0.08143126964569092
P51784,Q16236,1,0.9334639310836792
P51784,Q9H040,1,0.016940416768193245
P51784,O00425,1,0.13991504907608032
Q9Y6I4,Q15022,1,0.9845128655433655
Q9Y6I4,O95863,1,0.6901037693023682
Q9Y6I4,Q13887,1,0.8346179127693176
Q9Y6I4,Q9HAW4,1,0.9994304776191711
Q9Y6I4,P30304,1,0.3944467604160309
Q9Y6I4,P04198,1,0.7853531837463379
Q9Y6I4,Q01860,1,0.8535235524177551
P21580,Q9Y572,1,0.3587151765823364
Q70EK9,Q8WYQ5,1,0.046844907104969025
Q86UV5,Q04206,1,0.9620572328567505
Q86UV5,Q8N6T7,1,0.32759004831314087
Q9HBJ7,Q8N884,1,0.8603097200393677
Q96FW1,P51965,1,0.43729788064956665
Q96FW1,Q9UPY5,1,0.24343469738960266
Q96FW1,P22736,1,0.6089398264884949
Q96FW1,Q9NZQ7,1,0.09962502121925354
Q96FW1,P43246,1,0.9790728688240051
Q9UGI0,Q9P2Y5,1,0.6977851986885071
Q9UGI0,Q8NEB9,1,0.90468829870224
Q9UGI0,Q9ULT8,1,0.6280714869499207
Q5VV17,P46937,1,0.3126387596130371
Q5VV17,Q14653,1,0.6163432598114014
Q5VV17,Q07820,1,0.9324790835380554
Q5VV17,Q9HCE7,1,0.15842761099338531
Q9BXU7,O95863,1,0.6785162687301636
Q92560,Q6FI13,1,0.8858318328857422
Q92560,P46531,1,0.882656991481781
Q92560,Q15831,1,0.6232443451881409
Q92560,P60484,1,0.9844308495521545
Q9UHP3,P46531,1,0.8189477324485779
Q9Y5K5,Q6P4R8,1,0.0001507515844423324
Q9Y2K6,P35222,1,0.7719939351081848
Q9Y2K6,O75385,1,0.4352385103702545
Q9Y2K6,Q13546,1,0.4684140980243683
Q9Y2K6,Q13501,1,0.44194623827934265
Q9Y2K6,O43623,1,0.6684910655021667
Q13107,Q15382,1,0.16575993597507477
Q13107,Q15672,1,0.823859691619873
Q86T82,O95863,1,0.6259940266609192
Q86T82,Q99814,1,0.41440507769584656
Q9Y5T5,P62979,1,0.030357128009200096
Q9Y5T5,P01106,1,0.8090277314186096
Q70EK8,P25963,1,0.2725723683834076
Q96BN8,O75143,1,0.9164530038833618
Q96BN8,P37023,1,0.838245689868927
P54578,P08670,1,0.01916540041565895
P54578,Q9H5J4,1,0.9315666556358337
P54578,O95786,1,0.9748498201370239
P54578,P14635,1,0.9465042948722839
P54578,P12956,1,0.9675742983818054
P54578,Q9UPN3,1,0.002353198127821088
P54578,Q96RJ0,1,0.9282023906707764
P54578,P25963,1,0.3486749529838562
Q9P2H5,P03372,1,0.5366072058677673
O94966,P04150,1,0.5324609875679016
O94966,Q01844,1,0.31206613779067993
O94966,Q8IVP5,1,0.007153743878006935
O94966,Q9Y6Q9,1,0.274641752243042
Q9H0E7,Q15910,1,0.025708021596074104
Q9H0E7,P09467,1,0.9385691285133362
Q9H0E7,Q86WV6,1,0.7489948272705078
Q9H0E7,O15169,1,0.7748339176177979
Q9H0E7,Q9BZS1,1,0.8542028665542603
P46736,O60674,1,0.48095327615737915
P46736,Q96P20,1,0.6658990979194641
P54252,Q13635,1,0.9922367930412292
P54252,O43474,1,0.827736496925354
P54252,Q9BXW4,1,0.12156576663255692
P54252,O95166,1,0.12323754280805588
P54252,Q15382,1,0.13560618460178375
Q4G0A6,Q08050,1,0.8135588765144348
Q9UPU5,O75385,1,0.4529818594455719
P40818,Q7LBR1,1,0.27226367592811584
P40818,P29466,1,0.6610504388809204
P40818,P37840,1,0.9834560751914978
P40818,Q9HCE0,1,0.012645860202610493
P40818,P48431,1,0.46275031566619873
P40818,Q4U2R8,1,0.23244139552116394
P40818,Q16620,1,0.5237149000167847
Q8N5J2,P46937,1,0.6581692099571228
Q9NQC7,Q15154,1,0.9996516704559326
Q9NQC7,P59044,1,0.9378909468650818
Q9NQC7,P42773,1,0.377291738986969
Q96JH7,Q9H040,1,0.04457778111100197
Q01804,Q7Z434,1,0.00024222797947004437
Q96RU2,P15056,1,0.4053766429424286
Q96RU2,P40763,1,0.004661767277866602
Q96RU2,Q9HA47,1,0.007556518539786339
Q96RU2,P46531,1,0.8113802671432495
Q96DX7,Q16665,1,0.6706386208534241
Q96DC9,P10070,1,0.9044975638389587
Q93009,P51955,1,0.45289698243141174
Q93009,P01106,1,0.798482358455658
Q93009,P46531,1,0.6904602646827698
Q93009,P46937,1,0.5057986974716187
Q93009,Q16204,1,0.5727595090866089
Q93009,P11474,1,0.5170712471008301
Q93009,O15169,1,0.7793195843696594
Q93009,O14757,1,0.43349090218544006
Q93009,O15524,1,0.7004956603050232
Q93009,P53350,1,0.45502322912216187
Q93009,Q8NHW3,1,0.9656538367271423
Q93009,O75444,1,0.9822549819946289
Q93009,P23759,1,0.20337003469467163
Q93009,Q15910,1,0.027060212567448616
Q93009,Q07820,1,0.9679722189903259
Q93009,P30304,1,0.39545708894729614
Q93009,Q16778,1,0.9957457184791565
Q93009,Q9H8V3,1,0.038040947169065475
Q93009,P48764,1,0.9700883626937866
Q93009,Q96PU5,1,0.12616489827632904
Q93009,Q96C12,1,0.015967998653650284
Q93009,Q16656,1,0.9691116213798523
Q93009,P00519,1,0.38559672236442566
Q53GS9,O96017,1,0.41327357292175293
Q53GS9,P42224,1,0.007460188120603561
Q53GS9,P37275,1,0.7921492457389832
Q7L8S5,O00429,1,0.19818520545959473
Q7L8S5,O14965,1,0.23843581974506378
Q9P275,Q15910,1,0.027798639610409737
Q9P275,Q05195,1,0.019329139962792397
Q70EL4,P37275,1,0.7905133366584778
P15374,Q08050,1,0.7882204651832581
Q70CQ1,P28562,1,0.22694367170333862
Q70CQ1,Q86WV6,1,0.7410810589790344
Q70CQ1,P60484,1,0.9790173172950745
Q70CQ1,Q9HC16,1,0.05224983021616936
Q5T2D3,P04637,1,0.8317291140556335
Q8TEY7,P35813,1,0.6504452228546143
Q8TEY7,O60260,1,0.9060387015342712
Q8TEY7,P28562,1,0.24590763449668884
Q8TEY7,P01106,1,0.7972152233123779
Q96G74,P13010,1,0.001820742036215961
Q96G74,Q14258,1,0.20107989013195038
O15372,O95863,1,0.6622817516326904
Q9Y4E8,Q04206,1,0.9644449353218079
Q9Y4E8,P55212,1,0.775775671005249
Q9Y4E8,Q9UHD2,1,0.39730286598205566
Q9Y4E8,Q9NVV4,1,0.003328776452690363
Q9Y4E8,Q6N021,1,0.797184944152832
Q9Y4E8,Q9H257,1,0.07956261932849884
Q9Y4E8,Q13451,1,0.6600857973098755
Q9Y4E8,P35659,1,0.9329498410224915
Q9Y4E8,P60842,1,0.25052061676979065
Q504Q3,Q99708,1,0.7961113452911377
O00487,P01584,1,0.7722657322883606
O00487,P62993,1,0.19810400903224945
O00487,Q04771,1,0.5992367267608643
Q9UK80,Q08050,1,0.8615936636924744
Q9UK80,P15407,1,0.9186443090438843
Q9UK80,Q15910,1,0.028427984565496445
Q70CQ2,Q9UKV5,1,0.08254998177289963
O95630,P00533,1,0.3749121427536011
Q6GQQ9,Q13042,1,0.2568868100643158
Q6GQQ9,P48431,1,0.21230177581310272
Q6GQQ9,P08069,1,0.43409833312034607
Q6GQQ9,P35222,1,0.6610170602798462
Q6GQQ9,O60341,1,0.4406530559062958
