DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q5D1E8,O43474,1,3.71,1.0,0.5932918190956116
Q5D1E8,Q12933,1,17.48,1.0,0.981155514717102
Q5D1E8,Q13546,1,13.356,1.0,0.5000674724578857
Q5D1E8,Q9Y4K3,1,16.74,1.0,0.9881324172019958
P45974,O75444,1,126.44352,10.24,0.9862280488014221
P45974,O95180,1,3.4272,2.52,0.284363716840744
P45974,P04637,1,2572.49664,193.4208,0.9882418513298035
P45974,Q08050,1,10.3785,10.3785,0.8582425117492676
Q9UPT9,O60341,1,13.764,2.48,0.9726531505584717
Q9UPT9,P01106,1,68.348805,12.3151,0.7049989700317383
Q9UPT9,P09467,1,3.09,1.5,0.059548813849687576
Q9UPT9,P0C0S8,1,30.734077,14.7053,0.8957720398902893
Q9UPT9,P14780,1,38.476185,17.8959,0.6779477596282959
Q9UPT9,P35354,1,2.37,1.0,0.8488656282424927
Q9UPT9,P48431,1,9.513,3.15,0.42341968417167664
Q9UPT9,P54274,1,3.9775,1.85,0.9586787819862366
Q9UPT9,P62807,1,209.13624,45.464400000000005,0.973553478717804
Q9UPT9,Q13469,1,13.764,2.48,0.9862489104270935
Q9UPT9,Q14469,1,7.678242,3.6738,0.3464205265045166
Q9UPT9,Q96EB6,1,31.888584,7.912800000000001,0.790557861328125
Q96K76,O95863,1,1.71,1.0,0.765140175819397
Q96K76,P12830,1,7.1424,2.48,0.8878395557403564
Q96K76,P35222,1,104.017245,22.2735,0.9391776323318481
Q96K76,Q9UGP5,1,5.3865,3.15,0.0803932249546051
Q92905,Q9NZQ7,1,3.9597,1.97,0.03651905059814453
Q0WX57,O95760,1,3.5938,2.38,0.0030310205183923244
Q0WX57,P51449,1,35.19213,22.2735,0.624009370803833
Q0WX57,Q92769,1,3.9184,2.48,0.6261464357376099
Q0WX57,Q9H7L9,1,3.034,1.85,0.9815238118171692
Q0WX57,Q9Y256,1,3.315,1.5,0.9995050430297852
Q9P2H5,P21796,1,1.0,1.0,0.989018976688385
Q9P2H5,Q8NFZ5,1,23.16816,8.5808,0.4228724539279938
Q9Y5T5,P0C0S8,1,49.536648,32.5899,0.856877326965332
Q9Y5T5,P53350,1,9.198,2.52,0.941662073135376
Q9Y5T5,Q9H9S0,1,28.42182,13.797,0.47404739260673523
O94966,O60337,1,6.069,2.38,0.7811344265937805
O94966,O75581,1,5.6406,2.38,0.7207263708114624
O94966,Q13114,1,17.6733,6.57,0.7856278419494629
O94966,Q13547,1,90.19197,38.709,0.42804640531539917
O94966,Q14457,1,2.1411,1.17,0.9993864297866821
