DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q5D1E8,O43474,1,3.71,1.0,0.8810529112815857
Q5D1E8,Q12933,1,17.48,1.0,0.9957440495491028
Q5D1E8,Q13546,1,13.356,1.0,0.6335203647613525
Q5D1E8,Q9Y4K3,1,16.74,1.0,0.8546849489212036
P45974,O75444,1,126.44352,10.24,0.9586167931556702
P45974,O95180,1,3.4272,2.52,0.030306484550237656
P45974,P04637,1,2572.49664,193.4208,0.9880722761154175
P45974,Q08050,1,10.3785,10.3785,0.8518470525741577
Q9UPT9,O60341,1,13.764,2.48,0.48026520013809204
Q9UPT9,P01106,1,68.348805,12.3151,0.661320686340332
Q9UPT9,P09467,1,3.09,1.5,0.015836864709854126
Q9UPT9,P0C0S8,1,30.734077,14.7053,0.95879065990448
Q9UPT9,P14780,1,38.476185,17.8959,0.7042849063873291
Q9UPT9,P35354,1,2.37,1.0,0.996293842792511
Q9UPT9,P48431,1,9.513,3.15,0.45996928215026855
Q9UPT9,P54274,1,3.9775,1.85,0.10079064965248108
Q9UPT9,P62807,1,209.13624,45.464400000000005,0.9896075129508972
Q9UPT9,Q13469,1,13.764,2.48,0.9265235662460327
Q9UPT9,Q14469,1,7.678242,3.6738,0.6057704091072083
Q9UPT9,Q96EB6,1,31.888584,7.912800000000001,0.5984548926353455
Q96K76,O95863,1,1.71,1.0,0.7264946699142456
Q96K76,P12830,1,7.1424,2.48,0.6645082831382751
Q96K76,P35222,1,104.017245,22.2735,0.607651948928833
Q96K76,Q9UGP5,1,5.3865,3.15,0.6196410059928894
Q92905,Q9NZQ7,1,3.9597,1.97,0.006256375461816788
Q0WX57,O95760,1,3.5938,2.38,0.5091220140457153
Q0WX57,P51449,1,35.19213,22.2735,0.5266100168228149
Q0WX57,Q92769,1,3.9184,2.48,0.7718732953071594
Q0WX57,Q9H7L9,1,3.034,1.85,0.9950776696205139
Q0WX57,Q9Y256,1,3.315,1.5,0.999432384967804
Q9P2H5,P21796,1,1.0,1.0,0.9841032028198242
Q9P2H5,Q8NFZ5,1,23.16816,8.5808,0.35027527809143066
Q9Y5T5,P0C0S8,1,49.536648,32.5899,0.9304731488227844
Q9Y5T5,P53350,1,9.198,2.52,0.4290215075016022
Q9Y5T5,Q9H9S0,1,28.42182,13.797,0.4023926854133606
O94966,O60337,1,6.069,2.38,0.6729813814163208
O94966,O75581,1,5.6406,2.38,0.3782704174518585
O94966,Q13114,1,17.6733,6.57,0.8259446620941162
O94966,Q13547,1,90.19197,38.709,0.666800320148468
O94966,Q14457,1,2.1411,1.17,0.9995002746582031
O94966,Q5XPI4,1,23.484412,11.4002,0.461947500705719
O94966,Q86TM6,1,17.0415,3.15,0.05000457912683487
O94966,Q92769,1,4.9848,2.48,0.7738227844238281
O94966,Q92828,1,11.4002,11.4002,0.7343927025794983
Q70CQ1,P62807,1,49.85064,7.912800000000001,0.99460768699646
Q70CQ1,Q13451,1,1.5,1.5,0.6343976259231567
Q9Y4E8,O15111,1,9.0228,4.38,0.6004306077957153
Q9Y4E8,O43541,1,4.6,1.0,0.8465923070907593
Q9Y4E8,P21796,1,2.21,1.0,0.9958651065826416
Q9Y4E8,P25054,1,14.9026,5.54,0.26511919498443604
Q9Y4E8,P35222,1,66.852864,14.2848,0.5832098126411438
Q9Y4E8,P36894,1,23.3376,4.29,0.7455605864524841
Q9Y4E8,P36897,1,21.8214,4.49,0.6009131669998169
Q9Y4E8,P42574,1,6.069,2.38,0.8289444446563721
Q9Y4E8,P51449,1,15.6372,3.14,0.6291769742965698
Q9Y4E8,P62807,1,17.723,4.79,0.9945107698440552
Q9Y4E8,P62877,1,5.41,1.0,0.10577528178691864
Q9Y4E8,P84022,1,4.86,1.0,0.8466589450836182
Q9Y4E8,Q00987,1,36.307915,9.7865,0.9569467902183533
Q9Y4E8,Q13127,1,3.6,1.0,0.9309661984443665
Q9Y4E8,Q14145,1,2.33,1.0,0.28919562697410583
Q9Y4E8,Q14258,1,14.9026,5.54,0.5042021870613098
Q9Y4E8,Q14494,1,9.9484,2.38,0.737998902797699
Q9Y4E8,Q15020,1,9.0228,4.38,0.023942019790410995
Q9Y4E8,Q7Z569,1,6.069,2.38,0.3457503020763397
Q9Y4E8,Q8WWY3,1,4.9028,2.38,0.12533096969127655
Q9Y4E8,Q9HAU4,1,18.177,4.38,0.7887271642684937
Q9UK80,O95760,1,5.6406,2.38,0.5235338807106018
Q9UK80,O95786,1,24.941034,14.5854,0.9915636777877808
Q9UK80,P0C0S8,1,76.773,47.1,0.9106414914131165
Q9UK80,P23771,1,5.6406,2.38,0.8740497827529907
Q9UK80,P36507,1,5.2668,2.52,0.5655189752578735
