DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q14694,O43623,1,5.4264,1.36,0.7875903844833374
P62068,P10275,1,127.350564,52.6242,0.4729870557785034
Q93009,P51955,1,21.2256,9.648,0.35208600759506226
Q9Y2K6,P35222,1,98.46848,44.7584,0.46665826439857483
Q96RU2,P15056,1,2.76,2.76,0.38581356406211853
Q5VV17,P46937,1,2.1488,1.36,0.0427221804857254
Q93009,P01106,1,369.58381677,43.8993,0.795026957988739
O94966,P04150,1,23.540104,4.2568,0.47949281334877014
P40818,Q7LBR1,1,27.04746,1.32,0.7864455580711365
P09936,P10636,1,147.040656,2.76,0.9621981382369995
Q6GQQ9,Q13042,1,1.73,1.0,0.05723709240555763
Q9UPT9,P00533,1,16.177092,6.854699999999999,0.37426644563674927
Q93008,Q9NZQ7,1,3.02,1.0,0.03118058480322361
Q6R6M4,O60885,1,1.58,1.0,0.008354917168617249
P40818,P29466,1,4.3776,2.28,0.6068961024284363
Q96DX7,Q16665,1,1.48,1.0,0.337775319814682
Q5VV17,Q14653,1,7.66,7.66,0.968482494354248
Q93008,Q14457,1,35.506908,15.0453,0.9972635507583618
P09936,P37840,1,15.594,2.76,0.9929724931716919
Q9Y2K6,O75385,1,11.858631,6.854699999999999,0.35616937279701233
P40818,P37840,1,14.4072,2.76,0.9814768433570862
Q92560,Q6FI13,1,43.03812,14.204,0.809238076210022
Q93009,P46531,1,79.7867088,14.204,0.3074336349964142
Q96DC9,P10070,1,1.9536,1.32,0.9495255351066589
Q70CQ1,P28562,1,8.343328,4.2568,0.09124889969825745
Q14694,P04049,1,6.3384,2.28,0.3478686809539795
Q96FW1,P51965,1,7.714192,1.36,0.36834609508514404
P09936,P19838,1,9.8808,2.76,0.39970043301582336
P09936,P10145,1,2.42,1.0,0.2651977837085724
P09936,P05231,1,11.0124,2.76,0.06721652299165726
Q8TEY7,P35813,1,8.36352,3.8016,0.847174882888794
O00487,P01584,1,3.6432,1.32,0.343441367149353
Q92995,P53396,1,2.6656,1.36,0.008335490711033344
Q93008,Q9UPN4,1,31.414,5.56,0.04677945747971535
P54578,P08670,1,3.2096,1.36,0.012257776223123074
Q14694,P36888,1,3.2912,1.36,0.37067922949790955
Q93008,O95835,1,6.392,1.36,0.3354153037071228
Q92995,Q02218,1,10.8976,5.56,0.9792039394378662
O94782,O75385,1,7.8752,4.28,0.33119720220565796
Q93008,Q9Y4H2,1,14.44608,6.566399999999999,0.9620215892791748
A6NNY8,O95863,1,1.9536,1.32,0.7925044894218445
Q9Y2K6,Q13546,1,24.539826,6.854699999999999,0.3705843985080719
Q6GQQ9,P48431,1,1.73,1.0,0.02107427269220352
Q01804,Q7Z434,1,4.8688,1.36,6.312454934231937e-05
P54578,Q9H5J4,1,4.3143,2.19,0.960289478302002
Q9Y4E8,Q04206,1,21.9064,7.88,0.8226991891860962
P54578,O95786,1,37.804688,17.3416,0.9786679148674011
Q14694,P37198,1,2.6268,1.32,0.011944311670958996
Q8NB14,O60341,1,44.313088,24.0832,0.8825787305831909
Q13107,Q15382,1,3.9864,1.32,0.14819015562534332
P45974,P35222,1,278.56074112,24.0832,0.5331032872200012
P51784,O95863,1,1.9536,1.32,0.7966474294662476
Q70CQ2,Q9UKV5,1,6.0532,4.09,0.10211382061243057
Q14694,Q96DH6,1,4.28,4.28,0.06753399223089218
Q9H0E7,Q15910,1,3.3744,2.28,0.03761299327015877
Q86UV5,Q04206,1,22.616064,11.7792,0.8113884329795837
Q93009,P46937,1,18.254592,6.566399999999999,0.1414804309606552
Q9UGI0,Q9P2Y5,1,3.6696,1.32,0.1446402370929718
Q93008,Q9Y4L5,1,2.6268,1.32,0.08685564249753952
O94966,Q01844,1,8.36352,3.8016,0.015545816160738468
Q96FW1,Q9UPY5,1,9.3304,4.28,0.10951913148164749
P46736,O60674,1,19.21128,2.28,0.2799631357192993
Q9BXU7,O95863,1,1.9536,1.32,0.8076404333114624
Q53GS9,O96017,1,7.748352,6.566399999999999,0.32357898354530334
P45974,O43623,1,1.9536,1.32,0.8245812058448792
Q9UK80,Q08050,1,23.440608,11.7792,0.8285449147224426
Q96RU2,P40763,1,11.789424,2.28,0.006707817316055298
Q96FW1,P22736,1,2.6268,1.32,0.524277925491333
P40818,Q9HCE0,1,10.117,3.35,0.9012132287025452
Q70CQ1,Q86WV6,1,48.7344,22.152,0.7296937108039856
Q9UPU5,O75385,1,7.8752,4.28,0.3637126386165619
Q93008,P47895,1,2.6268,1.32,0.04671287536621094
Q96G74,P13010,1,3.58,1.0,0.012535248883068562
Q70CQ1,P60484,1,66.951296,24.0832,0.8878344297409058
Q15040,Q07820,1,1.48,1.0,0.9918280839920044
Q14694,Q13309,1,3.3744,2.28,0.07000810652971268
Q9NQC7,Q15154,1,12.9256,4.28,0.9999680519104004
