DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q14694,O43623,1,5.4264,1.36,0.6982288360595703
P62068,P10275,1,127.350564,52.6242,0.5345750451087952
Q93009,P51955,1,21.2256,9.648,0.45289698243141174
Q9Y2K6,P35222,1,98.46848,44.7584,0.7719939351081848
Q96RU2,P15056,1,2.76,2.76,0.4053766429424286
Q5VV17,P46937,1,2.1488,1.36,0.3126387596130371
Q93009,P01106,1,369.58381677,43.8993,0.798482358455658
O94966,P04150,1,23.540104,4.2568,0.5324609875679016
P40818,Q7LBR1,1,27.04746,1.32,0.27226367592811584
P09936,P10636,1,147.040656,2.76,0.9826883673667908
Q6GQQ9,Q13042,1,1.73,1.0,0.2568868100643158
Q9UPT9,P00533,1,16.177092,6.854699999999999,0.5543797612190247
Q93008,Q9NZQ7,1,3.02,1.0,0.09676773101091385
Q6R6M4,O60885,1,1.58,1.0,0.015860723331570625
P40818,P29466,1,4.3776,2.28,0.6610504388809204
Q96DX7,Q16665,1,1.48,1.0,0.6706386208534241
Q5VV17,Q14653,1,7.66,7.66,0.6163432598114014
Q93008,Q14457,1,35.506908,15.0453,0.9946314096450806
P09936,P37840,1,15.594,2.76,0.9791542291641235
Q9Y2K6,O75385,1,11.858631,6.854699999999999,0.4352385103702545
P40818,P37840,1,14.4072,2.76,0.9834560751914978
Q92560,Q6FI13,1,43.03812,14.204,0.8858318328857422
Q93009,P46531,1,79.7867088,14.204,0.6904602646827698
Q96DC9,P10070,1,1.9536,1.32,0.9044975638389587
Q70CQ1,P28562,1,8.343328,4.2568,0.22694367170333862
Q14694,P04049,1,6.3384,2.28,0.49249082803726196
Q96FW1,P51965,1,7.714192,1.36,0.43729788064956665
P09936,P19838,1,9.8808,2.76,0.658883810043335
P09936,P10145,1,2.42,1.0,0.3761536180973053
P09936,P05231,1,11.0124,2.76,0.03878895565867424
Q8TEY7,P35813,1,8.36352,3.8016,0.6504452228546143
O00487,P01584,1,3.6432,1.32,0.7722657322883606
Q92995,P53396,1,2.6656,1.36,0.30804866552352905
Q93008,Q9UPN4,1,31.414,5.56,0.5258862376213074
P54578,P08670,1,3.2096,1.36,0.01916540041565895
Q14694,P36888,1,3.2912,1.36,0.543822705745697
Q93008,O95835,1,6.392,1.36,0.39529845118522644
Q92995,Q02218,1,10.8976,5.56,0.609918475151062
O94782,O75385,1,7.8752,4.28,0.49956026673316956
Q93008,Q9Y4H2,1,14.44608,6.566399999999999,0.9733450412750244
A6NNY8,O95863,1,1.9536,1.32,0.6789636611938477
Q9Y2K6,Q13546,1,24.539826,6.854699999999999,0.4684140980243683
Q6GQQ9,P48431,1,1.73,1.0,0.21230177581310272
Q01804,Q7Z434,1,4.8688,1.36,0.00024222797947004437
P54578,Q9H5J4,1,4.3143,2.19,0.9315666556358337
Q9Y4E8,Q04206,1,21.9064,7.88,0.9644449353218079
P54578,O95786,1,37.804688,17.3416,0.9748498201370239
Q14694,P37198,1,2.6268,1.32,0.4272681772708893
Q8NB14,O60341,1,44.313088,24.0832,0.8205549716949463
Q13107,Q15382,1,3.9864,1.32,0.16575993597507477
P45974,P35222,1,278.56074112,24.0832,0.7077412009239197
P51784,O95863,1,1.9536,1.32,0.6828694343566895
Q70CQ2,Q9UKV5,1,6.0532,4.09,0.08254998177289963
Q14694,Q96DH6,1,4.28,4.28,0.03933408111333847
Q9H0E7,Q15910,1,3.3744,2.28,0.025708021596074104
Q86UV5,Q04206,1,22.616064,11.7792,0.9620572328567505
Q93009,P46937,1,18.254592,6.566399999999999,0.5057986974716187
Q9UGI0,Q9P2Y5,1,3.6696,1.32,0.6977851986885071
Q93008,Q9Y4L5,1,2.6268,1.32,0.11546716094017029
O94966,Q01844,1,8.36352,3.8016,0.31206613779067993
Q96FW1,Q9UPY5,1,9.3304,4.28,0.24343469738960266
P46736,O60674,1,19.21128,2.28,0.48095327615737915
Q9BXU7,O95863,1,1.9536,1.32,0.6785162687301636
Q53GS9,O96017,1,7.748352,6.566399999999999,0.41327357292175293
P45974,O43623,1,1.9536,1.32,0.5990653038024902
Q9UK80,Q08050,1,23.440608,11.7792,0.8615936636924744
Q96RU2,P40763,1,11.789424,2.28,0.004661767277866602
Q96FW1,P22736,1,2.6268,1.32,0.6089398264884949
P40818,Q9HCE0,1,10.117,3.35,0.012645860202610493
Q70CQ1,Q86WV6,1,48.7344,22.152,0.7410810589790344
Q9UPU5,O75385,1,7.8752,4.28,0.4529818594455719
Q93008,P47895,1,2.6268,1.32,0.05355800688266754
Q96G74,P13010,1,3.58,1.0,0.001820742036215961
Q70CQ1,P60484,1,66.951296,24.0832,0.9790173172950745
Q15040,Q07820,1,1.48,1.0,0.9574485421180725
Q14694,Q13309,1,3.3744,2.28,0.18419219553470612
Q9NQC7,Q15154,1,12.9256,4.28,0.9996516704559326
Q93008,O00512,1,8.998,4.09,0.786156415939331
Q93008,Q8WTU0,1,2.28,2.28,0.04399415850639343
Q9Y6I4,Q15022,1,4.3776,2.28,0.9845128655433655
P40818,P48431,1,23.440608,11.7792,0.46275031566619873
P54252,Q13635,1,2.18,1.0,0.9922367930412292
Q9Y6I4,O95863,1,1.9536,1.32,0.6901037693023682
P45974,P49411,1,8.2176,4.28,0.42625388503074646
Q93008,O14684,1,2.8776,1.32,0.37942638993263245
O94782,P10914,1,4.5372,2.28,0.822812557220459
Q93008,O14641,1,37.225728,12.3264,0.8083390593528748
Q70CQ1,Q9HC16,1,1.32,1.32,0.05224983021616936
Q9UPT9,Q9NZQ7,1,1.92,1.0,0.09536811709403992
Q8TEY7,O60260,1,14.8467,4.09,0.9060387015342712
Q9P275,Q15910,1,3.3744,2.28,0.027798639610409737
Q93009,Q16204,1,13.6604,9.23,0.5727595090866089
Q5VV17,Q07820,1,1.9536,1.32,0.9324790835380554
P54578,P14635,1,4.9704,2.28,0.9465042948722839
Q9H0E7,P09467,1,1.9536,1.32,0.9385691285133362
Q92560,P46531,1,40.47715584,3.8016,0.882656991481781
Q93008,P38398,1,71.4489984,6.566399999999999,0.5565028190612793
Q93009,P11474,1,39.20304,14.204,0.5170712471008301
Q93009,O15169,1,55.3284864,6.566399999999999,0.7793195843696594
P51784,P62136,1,2.5344,1.32,0.015345479361712933
P54252,O43474,1,11.5666,1.0,0.827736496925354
P15374,Q08050,1,1.9536,1.32,0.7882204651832581
Q9Y6I4,Q13887,1,3.3744,2.28,0.8346179127693176
P54252,Q9BXW4,1,1.99,1.0,0.12156576663255692
P54252,O95166,1,3.63,1.0,0.12323754280805588
O00487,P62993,1,1.99,1.0,0.19810400903224945
O00487,Q04771,1,7.722,1.32,0.5992367267608643
Q93009,O15524,1,54.8262,9.23,0.7004956603050232
Q14694,Q13485,1,14.44608,6.566399999999999,0.7728018760681152
P45974,Q92769,1,14.27904,9.648,0.4666498601436615
Q93009,P53350,1,73.367424,26.5824,0.45502322912216187
P54578,P12956,1,4.5372,2.28,0.9675742983818054
Q14694,O43474,1,8.998,4.09,0.8308137059211731
Q9UPT9,Q16665,1,35.573184,11.7792,0.45556122064590454
Q93009,Q8NHW3,1,18.3677,9.23,0.9656538367271423
Q93009,O75444,1,34.163922,9.23,0.9822549819946289
P35125,Q05586,1,8.287488,3.8016,0.9159196615219116
P45974,P19544,1,4.958,3.35,0.731361985206604
P09936,P36897,1,19.21128,2.28,0.7699671983718872
P09936,P36897,1,19.21128,2.28,0.7699671983718872
Q8TEY7,P28562,1,32.553216,16.3584,0.24590763449668884
Q9Y6I4,Q9HAW4,1,7.8752,4.28,0.9994304776191711
P51784,O14497,1,6.3344,4.28,0.09083665907382965
Q96RU2,Q9HA47,1,1.32,1.32,0.007556518539786339
Q9UK80,P15407,1,1.9536,1.32,0.9186443090438843
Q9Y4E8,P55212,1,1.99,1.0,0.775775671005249
Q9H0E7,Q86WV6,1,48.7344,22.152,0.7489948272705078
Q86T82,O95863,1,1.9536,1.32,0.6259940266609192
Q14694,P43405,1,6.2928,2.28,0.44598880410194397
A6NNY8,O95786,1,34.509784,17.3416,0.9741265773773193
Q92995,Q8NEB9,1,3.6432,1.32,0.7564390301704407
Q93009,P23759,1,26.82144,9.648,0.20337003469467163
Q9Y5T5,P62979,1,1.48,1.0,0.030357128009200096
P45974,Q9Y4K3,1,256.42346368,24.0832,0.8584955334663391
Q9H0E7,O15169,1,13.067136,6.566399999999999,0.7748339176177979
Q9Y2K6,Q13501,1,11.021208,1.32,0.44194623827934265
Q9UMW8,Q15672,1,39.341952,26.5824,0.8245577812194824
P09936,Q15796,1,31.698612,2.28,0.9037600755691528
P09936,P84022,1,31.698612,2.28,0.9039809703826904
Q9Y6I4,P30304,1,2.4288,1.32,0.3944467604160309
Q9NQC7,P59044,1,8.5172,4.28,0.9378909468650818
Q93009,Q15910,1,51.870456,2.28,0.027060212567448616
Q9HBJ7,Q8N884,1,2.6268,1.32,0.8603097200393677
Q86T82,Q99814,1,12.082176,6.566399999999999,0.41440507769584656
Q96BN8,O75143,1,1.48,1.0,0.9164530038833618
Q13107,Q15672,1,280.99723392,26.5824,0.823859691619873
Q5T2D3,P04637,1,97.6482,16.692,0.8317291140556335
Q9UHP3,P46531,1,24.63456,3.35,0.8189477324485779
Q96RU2,P46531,1,38.74811,3.35,0.8113802671432495
Q9H0E7,Q9BZS1,1,23.440608,11.7792,0.8542028665542603
Q9UPT9,Q92905,1,4.5372,2.28,0.8259546160697937
